1.0000000000	2409.3821154470	1000.7135875629	39.6128024764	369.0000000000	0.0000000000	39.0000000000	330.0000000000	2334.0000000000
5.0000000000	3345.0675442850	1511.0520857118	80.7539015256	592.0000000000	21.0000000000	125.0000000000	446.0000000000	5328.0000000000
10.0000000000	4107.8502919020	1919.4210274821	109.3960179651	915.0000000000	26.0000000000	192.0000000000	697.0000000000	6571.0000000000
50.0000000000	6699.8455101160	3316.8828582245	217.7247826364	1729.0000000000	75.0000000000	476.0000000000	1178.0000000000	13691.0000000000
100.0000000000	9330.9151386140	4565.5628764993	278.6115362375	2184.0000000000	111.0000000000	666.0000000000	1407.0000000000	17421.0000000000
200.0000000000	12205.5398785720	5939.2314281518	349.0297917434	2581.0000000000	153.0000000000	847.0000000000	1581.0000000000	21199.0000000000
500.0000000000	16680.4338609520	8054.6257320998	463.5457911494	3062.0000000000	216.0000000000	1052.0000000000	1794.0000000000	31374.0000000000
1000.0000000000	20951.1935400810	9988.2785086643	571.6838065511	3525.0000000000	270.0000000000	1235.0000000000	2020.0000000000	40308.0000000000
2000.0000000000	25943.6407776141	12243.5681061077	696.9259409478	3901.0000000000	338.0000000000	1395.0000000000	2168.0000000000	50804.0000000000
5000.0000000000	33884.3756738891	15930.6218310099	890.4272401644	4482.0000000000	451.0000000000	1625.0000000000	2406.0000000000	67125.0000000000
8000.0000000000	39208.1487202100	18328.9557267376	1017.3057271853	4857.0000000000	537.0000000000	1767.0000000000	2553.0000000000	74227.0000000000
10000.0000000000	42182.6255992010	19663.0355938854	1080.2372212795	5006.0000000000	555.0000000000	1823.0000000000	2628.0000000000	76198.0000000000
12000.0000000000	43781.5880712429	20397.6373420433	1137.4697464819	5163.0000000000	592.0000000000	1883.0000000000	2688.0000000000	80096.0000000000
15000.0000000000	47472.1524769320	22053.5587076258	1206.2934201274	5336.0000000000	624.0000000000	1963.0000000000	2749.0000000000	81695.0000000000
20000.0000000000	53499.4969123240	24532.9721915097	1301.8290628196	5639.0000000000	682.0000000000	2082.0000000000	2875.0000000000	84872.0000000000
30000.0000000000	59783.7429467310	27351.9487239157	1430.8755963835	5928.0000000000	762.0000000000	2197.0000000000	2969.0000000000	86592.0000000000
40000.0000000000	65186.2830747350	29801.3970761793	1526.0110028076	6076.0000000000	812.0000000000	2261.0000000000	3003.0000000000	87358.0000000000
50000.0000000000	70480.5270879770	32084.8127524873	1591.5995596962	6383.0000000000	894.0000000000	2389.0000000000	3100.0000000000	87738.0000000000
