0.0000000000	0.0000000000	138.2370165642	0.0000000000	138.2370165642
0.0034024444	0.0138789128	139.6803414558	1.9120737687	137.7682676870
0.0068048889	0.0278883693	141.1318350715	3.8291480370	137.3026870345
0.0102073333	0.0416961759	142.5459574208	5.7057148266	136.8402425942
0.0136097778	0.0553883826	143.9348204025	7.5539176189	136.3809027836
0.0170122222	0.0689362054	145.2947651005	9.3701286576	135.9246364429
0.0204146667	0.0824023611	146.6345771098	11.1631642821	135.4714128276
0.0238171111	0.0957748470	147.9528365265	12.9316349242	135.0212016023
0.0272195556	0.1090376024	149.2475961751	14.6736233418	134.5739728332
0.0306220000	0.1221070930	150.5078843598	16.3781873778	134.1296969820
0.0340244445	0.1352291429	151.7669051936	18.0785602946	133.6883448990
0.0374268889	0.1480990650	152.9840716138	19.7341837954	133.2498878184
0.0748537778	0.2824567469	164.9368483708	36.3267811950	128.6100671758
0.1000000000	0.3647560237	171.5089100530	45.8388949946	125.6700150584
0.1122806667	0.4027471212	174.3369122895	50.0544171361	124.2824951534
0.1497075556	0.5085802131	181.3637092800	61.1422535700	120.2214557100
0.1871344444	0.6161334626	186.5902895323	71.1355366631	115.4547528692
0.2000000000	0.6593850346	188.1948030484	74.7824248943	113.4123781541
0.2245613333	0.7555833629	190.9686273170	82.1907524771	108.7778748399
0.2619882222	0.9310814495	195.1561970950	94.0956244568	101.0605726382
0.2994151111	1.1113708719	199.3036499226	104.9082726930	94.3953772296
0.3000000000	1.1141358397	199.3606548320	105.0617686925	94.2988861395
0.3052631579	1.1388520231	199.9076709706	106.4427333271	93.4649376435
0.3105263158	1.1603534573	200.4620708536	107.6707407217	92.7913301319
0.3157894737	1.1850341551	201.0146288913	109.0185251136	91.9961037777
0.3210526316	1.2074790951	201.5188547566	110.2297208278	91.2891339288
0.3263157895	1.2264349692	202.0571381023	111.3034709641	90.7536671382
0.3315789474	1.2486668607	202.5618060753	112.4809632351	90.0808428401
0.3368420000	1.2762166112	203.0385421923	113.8385331973	89.2000089950
0.3368951616	1.2764296040	203.0270273642	113.8404225993	89.1866047649
0.3369483232	1.2765997414	203.0341276956	113.8510692937	89.1830584019
0.3370014848	1.2767409856	203.0300313808	113.8543049069	89.1757264739
0.3370546465	1.2773324074	203.0585126592	113.8934386458	89.1650740134
0.3371078081	1.2777494548	203.0731726093	113.9179882309	89.1551843784
0.3371609697	1.2779375446	203.0818675294	113.9302277009	89.1516398286
0.3421052632	14081.7494632947	400.0430971622	400.0146905575	0.0284066047
0.3473684211	14298.3917627300	404.6104616320	404.5821659906	0.0282956414
0.3526315789	14515.0340621653	409.1422824094	409.1140968677	0.0281855416
0.3578947368	14731.6763616006	413.6389727931	413.6108964978	0.0280762953
0.3631578947	14948.3186610359	418.1009396990	418.0729718063	0.0279678927
0.3684210526	15164.9609604712	422.5285837825	422.5007234587	0.0278603238
0.3736842105	15381.6032599065	426.9222995589	426.8945459796	0.0277535793
0.3789473684	15598.2455593418	431.2824755202	431.2548278706	0.0276476496
0.3842105263	15814.8878587771	435.6094942499	435.5819517244	0.0275425255
0.3894736842	16031.5301582124	439.9037325346	439.8762943369	0.0274381977
0.3947368421	16248.1724576477	444.1655614738	444.1382268164	0.0273346574
0.4000000000	16464.8147570830	448.3953465863	448.3681146908	0.0272318955
0.4222222222	17379.5266880320	465.9093005681	465.8824941710	0.0268063971
0.4444444444	18294.2386189811	482.8843636581	482.8579696671	0.0263939910
0.4666666667	19208.9505499301	499.3450308969	499.3190368148	0.0259940821
0.4888888889	20123.6624808792	515.3143349345	515.2887288238	0.0256061107
0.5000000000	20581.0184463537	523.1215502418	523.0961338060	0.0254164358
0.5111111111	21038.3744118283	530.8139535592	530.7887240090	0.0252295502
0.5333333333	21953.0863427773	545.8643078760	545.8394439715	0.0248639046
0.5555555556	22867.7982737264	560.4846520695	560.4601433636	0.0245087059
0.5777777778	23782.5102046754	574.6931555814	574.6689920685	0.0241635129
0.6000000000	24697.2221356245	588.5069784403	588.4831505317	0.0238279086
