0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
10.0000000000	24.0000000000	0.0001000000	7.2598048358	0.0000000000	7.2598048358	0.0079370000	7.2598048358	0.0019960000	7.2598048358	0.0000000000	7.2598048358	0.3201450000	7.2570467320	0.1705424786
50.0000000000	184.0000000000	0.0005000000	7.4502120931	0.0009960000	7.4502120931	0.1037250000	7.4502120931	0.0259290000	7.4488317597	0.0000000000	7.4499133174	2.6797980000	7.4467173764	0.6867074966
100.0000000000	384.0000000000	0.0010000000	7.5542197206	0.0039910000	7.5542197206	0.3281240000	7.5542197206	0.0807390000	7.5539835885	0.0000000000	7.5513345492	10.8736000000	7.5465627503	1.1371214390
200.0000000000	784.0000000000	0.0020000000	7.6695183897	0.0139630000	7.6695183897	0.6153560000	7.6695183897	0.4049580000	7.6616899191	0.0000000000	7.6575136827	23.5583910000	7.6461331362	1.9349167347
300.0000000000	1184.0000000000	0.0030000000	7.7267139733	0.0319130000	7.7267139733	1.3174810000	7.7267139733	0.8018550000	7.5543248313	0.0000000000	7.6049380520	39.2360900000	7.6410161355	3.2884986401
400.0000000000	1584.0000000000	0.0040000000	7.7750150477	0.0718080000	7.7750150477	2.2779120000	7.7750150477	1.1639250000	7.6678990938	0.0009970000	7.6229782530	43.4398480000	7.7428363607	2.9733209610
500.0000000000	1984.0000000000	0.0050000000	7.7996959098	0.0727690000	7.7996959098	3.0169390000	7.7996959098	1.7523170000	7.6301062410	0.0000000000	7.6714665996	67.4477710000	7.7448936915	4.0839993954
600.0000000000	2384.0000000000	0.0060000000	7.7683046520	0.0967310000	7.7683046520	4.0451960000	7.7683046520	2.2020750000	7.7122544048	0.0009970000	7.8295949330	68.5651500000	7.7099992764	3.8077790737
700.0000000000	2784.0000000000	0.0070000000	7.8786873085	0.1475870000	7.8786873085	5.7346370000	7.8786873085	2.7007820000	7.3933618020	0.0000000000	7.8428814058	58.8136570000	7.8069445674	3.7318751812
800.0000000000	3184.0000000000	0.0080000000	7.9679471325	0.1715420000	7.9679471325	7.0601730000	7.9679471325	3.7978100000	7.8604195797	0.0000000000	7.6681030185	55.1923800000	7.7652068134	3.8320219517
1000.0000000000	3984.0000000000	0.0100000000	8.1025512189	0.2553160000	8.1025512189	9.9195360000	8.1025512189	6.2782120000	8.0279451054	0.0009970000	7.8565080599	60.9917990000	7.9630952216	5.7465777397
2000.0000000000	7984.0000000000	0.0200000000	8.8108688378	0.6382920000	8.8108688378	24.3329690000	8.8108688378	14.5720160000	8.1038704118	0.0029920000	8.4769637654	66.8575620000	8.3848553951	8.6827242374
5000.0000000000	19984.0000000000	0.0500000000	11.1489820899	7.6146110000	11.1148410160	68.1987770000	11.1148410160	44.6307170000	9.4798811683	0.0069810000	9.9478051818	36.6878740000	9.7240345040	17.8894217014
10000.0000000000	39984.0000000000	0.1000000000	14.7746625177	23.5430770000	14.6865362628	144.1228190000	14.6865362628	90.4851710000	11.5692073139	0.0209500000	12.5554580152	195.0523040000	12.4856345993	48.6757402420
20000.0000000000	79984.0000000000	0.2000000000	22.2745160672	79.2352350000	22.0841310228	264.2812340000	22.0841310228	182.1940790000	14.9043080511	0.1982440000	18.1127385065	405.5972450000	17.1834328529	110.2483773200
