0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
10.0000000000	21.0000000000	0.0001000000	7.2616871164	0.0000000000	7.2616871164	0.0049850000	7.2616871164	0.0009980000	7.2616871164	0.0000000000	7.2493901269	0.2164200000	7.2496372946	0.1835083961
50.0000000000	185.0000000000	0.0005000000	7.5347298349	0.0009980000	7.5347298349	0.0717690000	7.5347298349	0.0179520000	7.5347298349	0.0000000000	7.4737927679	2.8095190000	7.4268416685	0.7252385616
100.0000000000	385.0000000000	0.0010000000	8.0275181459	0.0030290000	8.0275181459	0.1545500000	8.0275181459	0.0738030000	8.0270500301	0.0000000000	7.6092447439	9.5974360000	7.5326572007	1.5266964436
200.0000000000	786.0000000000	0.0020000000	8.4420725377	0.0119680000	8.4420725377	0.2473400000	8.4420725377	0.2662870000	8.4237559762	0.0000000000	7.9594847651	26.0844550000	7.6269722452	2.2616865635
300.0000000000	1193.0000000000	0.0030000000	7.8440937561	0.0408910000	7.8440937561	1.1987950000	7.8440937561	0.6382960000	7.8429858151	0.0000000000	7.8263808666	33.4953760000	7.7145361745	3.1984462738
400.0000000000	1590.0000000000	0.0040000000	8.1509017616	0.0479080000	8.1509017616	1.9458000000	8.1509017616	1.0501540000	8.0358291837	0.0000000000	7.9479526057	60.9210580000	7.8621960376	3.1113576889
500.0000000000	1983.0000000000	0.0050000000	8.4466964090	0.0777550000	8.4466964090	3.3719880000	8.4466964090	1.9657820000	8.4246838384	0.0009940000	8.4038236466	80.8942690000	7.9564183183	3.8280417919
600.0000000000	2381.0000000000	0.0060000000	8.5715520706	0.2852370000	8.5524858456	4.0801330000	8.5524858456	2.5371810000	8.2663733350	0.0009590000	8.4692092486	94.9600150000	8.1025022017	5.2429404259
700.0000000000	2794.0000000000	0.0070000000	8.9176667764	0.1436160000	8.9176667764	5.9621070000	8.9176667764	3.7509740000	8.8754930670	0.0000000000	8.8639289728	126.6532150000	8.0619947118	6.5524756908
800.0000000000	3193.0000000000	0.0080000000	9.0148586810	0.5076400000	8.9791329569	7.4461400000	8.9791329569	4.3274300000	9.0004398792	0.0009990000	8.6665397404	125.5372330000	8.1858468526	5.9615163803
1000.0000000000	4019.0000000000	0.0100000000	9.3600360203	0.7281000000	9.3158058099	10.0311850000	9.3158058099	5.4643910000	9.2706499914	0.0009970000	8.9539065730	125.8932810000	8.4836658041	7.1655621529
2000.0000000000	8063.0000000000	0.0200000000	11.1163135835	1.7373570000	11.0815936477	24.3668760000	11.0815936477	15.1335540000	10.5980187579	0.0019960000	11.0486017887	20.1201840000	9.2129327585	8.3259513378
5000.0000000000	20165.0000000000	0.0500000000	18.2192300595	11.6268870000	18.1506721924	70.0368200000	18.1506721924	43.5326570000	17.4787386554	0.0079790000	17.4571420960	39.8992970000	12.8814542762	27.2817912102
10000.0000000000	40171.0000000000	0.1000000000	26.8728282768	40.3900190000	26.6854942764	163.9677820000	26.6854942764	90.8644960000	23.2060651956	0.0169560000	23.2145771963	219.5717720000	18.1204537504	64.5027873516
20000.0000000000	80345.0000000000	0.2000000000	50.8833642790	126.0521190000	50.4875502790	269.0878900000	50.4875502790	185.5281740000	44.5376812790	0.2752710000	44.6512532790	630.3821310000	28.5934150786	138.9447796300
